n_blocks,algoritma,toplam_odul,kapasite_doluluk_yuzdesi,secilen_islem_sayisi,kullanilan_kapasite,toplam_kapasite,havuzdaki_islem_sayisi,islem_odulleri,kullanilan_kapasite_yuzdesi,bekleyen_islem_sayisi
18,Açgözlü (Greedy),19011254670497857536,100,1578,539991163,540000000,2894,19011254670497857536,100,1316
18,Genetik Algoritma (YZ),17452100362805735424,99,1471,536743391,540000000,2894,17452100362805735424,99,1423
18,Benzetilmiş Tavlama (YZ),15255059180413497344,100,1838,539988035,540000000,2894,15255059180413497344,100,1056
19,Rastgele,16386694236571029504,100,1792,569982469,570000000,3126,16386694236571029504,100,1334
19,Açgözlü (Greedy),20032188354721488896,100,1697,569987783,570000000,3126,20032188354721488896,100,1429
19,Genetik Algoritma (YZ),18156000027879399424,100,1625,569922354,570000000,3126,18156000027879399424,100,1501
19,Benzetilmiş Tavlama (YZ),16885679971122173952,100,1798,569981283,570000000,3126,16885679971122173952,100,1328
20,Rastgele,17581402601071613952,100,2105,599999181,600000000,3259,17581402601071613952,100,1154
20,Açgözlü (Greedy),20750782926790311936,100,1769,599986488,600000000,3259,20750782926790311936,100,1490
20,Genetik Algoritma (YZ),18613288703605075968,100,1694,599677736,600000000,3259,18613288703605075968,100,1565
20,Benzetilmiş Tavlama (YZ),17282105630424025088,100,1922,599988395,600000000,3259,17282105630424025088,100,1337
