n_blocks,algoritma,toplam_odul,kapasite_doluluk_yuzdesi,secilen_islem_sayisi,geride_kalan_islem_sayisi,ortalama_odul_per_tx,ortalama_agirlik_per_tx,kullanilan_kapasite,toplam_kapasite,havuzdaki_islem_sayisi
18,Açgözlü (Greedy),19011254670497857536,100,1578,1316,12047689905258464,342200,539991163,540000000,2894
18,Genetik Algoritma (YZ),17053713049694316544,100,1455,1439,11720764982607778,370977,539771503,540000000,2894
18,Benzetilmiş Tavlama (YZ),15409681933404706816,100,1653,1241,9322251623354330,326674,539992886,540000000,2894
19,Rastgele,17031626976563808256,100,1906,1220,8935795895364013,299048,569986406,570000000,3126
19,Açgözlü (Greedy),20032188354721488896,100,1697,1429,11804471629181786,335880,569987783,570000000,3126
19,Genetik Algoritma (YZ),18396087857972983808,100,1609,1517,11433242919809188,354236,569965593,570000000,3126
19,Benzetilmiş Tavlama (YZ),16425894903983927296,100,1804,1322,9105263250545414,315963,569996424,570000000,3126
20,Rastgele,17304929804523886592,100,2150,1109,8048804560243668,279063,599986392,600000000,3259
20,Açgözlü (Greedy),20750782926790311936,100,1769,1490,11730233423849810,339167,599986488,600000000,3259
20,Genetik Algoritma (YZ),18776747858585976832,100,1693,1566,11090813856223258,354107,599503142,600000000,3259
20,Benzetilmiş Tavlama (YZ),17928347554047655936,100,2064,1195,8686214900216888,290694,599991409,600000000,3259
